>1-1320	>CD630_00010
>1462-2668	>CD630_00020
>2705-3011	>CD630_00030
>2929-4144	>CD630_00040
>4045-6046	>CD630_00050
>5966-8492	>CD630_00060
>8461-8857	>CD630_00070
>8757-9117	>CD630_00080
>9035-9446	>CD630_00090
>9350-9857	>CD630_00100
>9757-10630	>CD630_00110
>10812-12318	>CD630_r0010
>12372-12444	>CD630_t0010
>12822-15720	>CD630_r0020
>15839-15968	>CD630_r0030
>15973-16600	>CD630_00120
>16512-17493	>CD630_00130
>17605-17855	>CD630_s0010
>17852-19223	>CD630_00140
>19444-19999	>CD630_00150
>20000-20088	>CD630_t0020
>20243-20343	>CD630_s0020
>20370-22107	>CD630_00160
>22120-22516	>CD630_00170
>22429-23128	>CD630_00180
>23235-23490	>CD630_00181
>23561-24866	>CD630_00190
>25267-26773	>CD630_r0040
>27034-29932	>CD630_r0050
>30115-30233	>CD630_r0060
>30237-30308	>CD630_t0030
>30318-30403	>CD630_t0040
>30419-30491	>CD630_t0050
>30502-30573	>CD630_t0060
>30586-30656	>CD630_t0070
>30665-30737	>CD630_t0080
>30746-30819	>CD630_t0090
>30832-30903	>CD630_t0100
>30921-31002	>CD630_t0110
>31015-31095	>CD630_t0120
>31128-31201	>CD630_t0130
>31212-31284	>CD630_t0140
>31375-31460	>CD630_t0150
>31467-31539	>CD630_t0160
>31549-31622	>CD630_t0170
>31637-31710	>CD630_t0180
>31737-31810	>CD630_t0190
>31821-31894	>CD630_t0200
>31906-31978	>CD630_t0210
>31989-32059	>CD630_t0220
>32069-32140	>CD630_t0230
>34059-34298	>CD630_SQ22
>51662-52607	>CD630_00310
>136463-137747	>CD630_01070
>171529-171631	>CD630_n00010
>173449-173974	>CD630_01290
>182480-182582	>CD630_n00020
>208630-209097	>CD630_RNA_2
>217806-219255	>CD630_01650
>219192-220512	>CD630_01660
>220781-223012	>CD630_01670
>224053-225529	>CD630_01690
>225445-227379	>CD630_01700
>228980-229184	>CD630_01721
>234379-235666	>CD630_01770
>240878-241078	>CD630_n00030
>246964-247885	>CD630_01890
>261187-262120	>CD630_02020
>262205-265733	>CD630_02030
>277986-278379	>CD630_02130
>278285-278600	>CD630_02140
>280761-281373	>CD630_02170
>293177-293279	>CD630_n00050
>303604-303706	>CD630_n00060
>309860-309962	>CD630_n00070
>312822-312924	>CD630_n00080
>313159-313261	>CD630_n00090
>317845-317947	>CD630_n00100
>318125-318367	>CD630_SQ178
>330446-330548	>CD630_n00110
>332212-332314	>CD630_n00120
>335081-335183	>CD630_n00130
>339745-340218	>CD630_02780
>341439-342270	>CD630_02810
>343008-343851	>CD630_02820
>370555-371383	>CD630_03090
>372933-373834	>CD630_03110
>383535-384408	>CD630_03160
>384319-385156	>CD630_03170
>385049-386072	>CD630_03180
>385965-386184	>CD630_03181
>386129-387152	>CD630_03190
>387054-387855	>CD630_03200
>387748-387966	>CD630_03210
>402133-403831	>CD630_03330
>407612-408053	>CD630_03350
>407988-408756	>CD630_03360
>408668-411267	>CD630_03370
>413328-418485	>CD630_03400
>418410-418886	>CD630_03410
