"Title","COG Category","Essentiality","Function","GO IDs","Pathway","Product","Short Name","Synonyms"
"CD630_00010","INFORMATION STORAGE AND PROCESSING","","Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'-TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids. ","GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275","","Chromosomal replication initiator protein","dnaA",""
"CD630_00020","INFORMATION STORAGE AND PROCESSING","","Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3'-5' exonuclease proofreading activity. The beta chain is required for initiation of replication as well as for processivity of DNA replication. ","GO:0003677, GO:0003887, GO:0005737, GO:0006260, GO:0008408, GO:0009360","","DNA polymerase III subunit beta","dnaN",""
"CD630_00030","POORLY CHARACTERIZED","","","GO:0003723","","Putative RNA-binding mediating protein","",""
"CD630_00040","INFORMATION STORAGE AND PROCESSING","","The RecF protein is involved in DNA metabolism; it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP. ","GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0009432","","DNA replication and repair protein RecF","recF",""
"CD630_00050","INFORMATION STORAGE AND PROCESSING","","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner. ","GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265, GO:0046872","","DNA gyrase subunit B","gyrB",""
"CD630_00060","INFORMATION STORAGE AND PROCESSING","","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner. ","GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265","","DNA gyrase subunit A","gyrA",""
"CD630_00090","CELLULAR PROCESSES AND SIGNALING","","","GO:0043856","","Anti-anti-sigma factor","rsbV",""
"CD630_00100","CELLULAR PROCESSES AND SIGNALING","","","GO:0016301","","Serine-protein kinase RsbW","rsbW",""
"CD630_00110","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0003700, GO:0006352, GO:0016987","","RNA polymerase sigma-B factor","sigB",""
"CD630_00120","INFORMATION STORAGE AND PROCESSING","","","GO:0036094, GO:0046872","","Putative small-molecule-binding protein","",""
"CD630_00130","CELLULAR PROCESSES AND SIGNALING","","","GO:0016021, GO:0055085","","Putative mechanosensitive ion channel protein","",""
"CD630_00140","INFORMATION STORAGE AND PROCESSING","Yes","Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec). ","GO:0004828, GO:0005524, GO:0005737, GO:0006434, GO:0016260, GO:0097056","Aminoacyl-tRNA biosynthesis","Seryl-tRNA synthetase 1","serS1","serS"
"CD630_00150","METABOLISM, INFORMATION STORAGE AND PROCESSING","","Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2). ","GO:0002100, GO:0008270, GO:0052717","","tRNA specific adenosine deaminase","tadA",""
"CD630_00160","INFORMATION STORAGE AND PROCESSING","Yes","DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. ","GO:0003677, GO:0003887, GO:0005524, GO:0006260, GO:0009360","","DNA polymerase III subunits gamma and tau","dnaX",""
"CD630_00170","POORLY CHARACTERIZED","","Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection. ","GO:0003677, GO:0005737, GO:0043590","","DNA binding protein","",""
"CD630_00180","INFORMATION STORAGE AND PROCESSING","","May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO. ","GO:0003677, GO:0006281, GO:0006310, GO:0046872","","DNA repair and recombination protein","recR",""
"CD630_00190","CELLULAR PROCESSES AND SIGNALING","","","GO:0009247, GO:0016758","","Putative glycosyl transferase","",""
"CD630_00200","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_00210","METABOLISM","","Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. ","GO:0004736, GO:0005524, GO:0006090, GO:0006094, GO:0009374, GO:0046872","","Pyruvate carboxylase","pycA",""
"CD630_00220","INFORMATION STORAGE AND PROCESSING","","","GO:0003746, GO:0003924, GO:0005525","","Elongation factor G (EF-G)","fusA1",""
"CD630_00230","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0006355","","Transcriptional regulator, CtsR family","ctsR",""
"CD630_00240","POORLY CHARACTERIZED","","","GO:0016301","","Activator of protein kinase McsB","mcsA",""
"CD630_00250","METABOLISM","","Catalyzes the specific phosphorylation of arginine residues in proteins. ","GO:0004111, GO:0004672, GO:0005524, GO:0046314","","Tyrosine kinase protein","mcsB",""
"CD630_00260","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0019538","","class III stress response-related ATPase, AAA+superfamily","clpC",""
"CD630_00270","CELLULAR PROCESSES AND SIGNALING","","DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function. ","GO:0000725, GO:0003684, GO:0005524, GO:0008094, GO:0008168, GO:0032259, GO:0046872","","DNA repair protein","radA",""
